nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
708.44,94.45,719.16,85.41,696.27,85.5,734.79,101.49,674.91,101.56,775.61,175.55,635.91,175.43,820.15,249.4,574.02,240.55,828.07,175.75,548.18,168.76,748.39,375.92,659.21,376.86,758.85,525.03,684.5,515.35,775.54,664.26,697.89,661.69
710.13,94.95,720.13,85.91,697.51,85.75,734.89,101.55,675.4,102.25,775.63,175.99,635.16,176.69,821.85,252.26,573.96,243.22,830.79,176.36,547.93,170.82,748.7,377.1,660.61,374.8,758.42,524.5,684.5,514.44,775.51,663.69,697.92,661.48
710.96,95.79,720.49,86.02,697.72,86.2,734.77,101.18,675.29,102.51,775.39,176.27,636.2,176.67,821.72,251.56,574.85,243.88,833.64,179.51,547.44,172.8,748.54,376.79,656.91,375.36,759.21,524.47,685.18,515.95,775.01,664.99,698.06,661.5
711.06,96.05,720.38,86.07,697.89,86.51,734.23,100.97,675.61,102.77,775.49,177.01,635.61,176.69,822.11,253.79,575.89,245.41,835.08,180.5,546.72,175.47,749.1,380.59,660.18,377.77,758.48,524.6,686.33,515.62,775.19,665.5,698.07,661.34
710.44,97.02,719.65,86.16,697.74,87.11,733.62,100.62,675.2,103.15,774.82,176.56,635.01,176.79,822.17,254.46,575.84,246.0,834.97,183.88,546.86,177.13,748.26,380.62,660.66,375.44,758.53,525.21,685.44,513.62,775.71,664.27,698.0,661.04
709.88,97.7,718.92,86.62,697.18,87.64,733.21,100.8,674.88,103.37,774.14,176.64,634.8,176.8,821.55,255.21,575.77,248.05,836.71,185.56,546.14,178.28,748.21,378.61,660.56,376.21,758.41,524.89,684.5,513.97,775.74,664.09,697.92,661.25
708.87,98.69,718.29,87.31,696.51,88.45,732.98,101.1,674.0,103.66,774.07,176.64,635.07,177.35,820.38,257.5,577.58,250.4,835.74,187.42,546.81,179.17,748.57,380.6,661.34,377.47,758.72,525.41,684.47,512.85,775.39,663.34,697.97,661.19
708.66,99.52,718.1,88.32,695.86,89.42,732.64,100.0,673.09,103.45,774.46,176.56,635.09,177.14,819.84,259.91,577.15,253.25,834.92,190.83,547.27,182.48,747.75,380.76,661.92,381.08,759.21,525.77,685.28,517.33,774.89,666.62,697.96,661.31
708.55,100.32,717.6,89.03,695.8,89.91,732.4,99.97,672.2,104.02,773.95,176.62,635.12,177.34,817.42,261.28,581.06,253.18,835.37,194.79,547.69,185.44,749.21,380.42,660.66,383.63,759.41,526.6,685.36,517.32,774.95,666.7,697.39,662.63
708.06,101.17,717.13,89.78,695.32,90.97,731.5,100.01,671.39,103.99,773.83,176.07,635.0,177.68,817.61,264.55,581.22,254.86,834.34,197.62,548.49,187.74,748.34,382.08,659.73,379.63,759.23,526.61,685.2,515.05,774.82,666.61,697.42,662.71
